id	label
N134	ear_2/birthday_2+ear–hurt
N135	five–hours
N136	five
N137	frustrated/thwarted
N138	few/close
N139	service
N140	(horns)service
N141	destroy
N142	tornado
N143	department
N144	policeman
N145	m
N146	blind
N147	crvd–v
N148	dog
N149	curved_v
N150	eye
N151	interrupt
N152	night
N153	bent–b
N154	night+
N155	tree
N156	flat_b
N157	palm back
N158	signs about time
N159	hear/listen
N160	(3)listen
N161	crvd–3
N162	(3)listen++
N163	insult
N164	(2h)insult–1p
N165	sad
N166	darts
N167	baby–o
N168	l
N169	think+grab–chance
N170	insurance/infection
N171	cent+one_2
N172	leave
N173	finish
N174	gone
N175	where
N176	flatspread_5
N177	descriptive signs
N178	get–up
N179	old+four_2
N180	these
N181	(1h)this
N182	me
N183	they
N184	go right, them, there, these
N185	pronouns
N186	invite/hire
N187	(2h)invite/hire
N188	crvd–flat–b
N189	sixty–nine
N190	know–nothing
N191	(o)know–nothing
N192	emergency
N193	(2h)emergency
N194	loose–e
N195	see–see
N196	see–see+
N197	#fix
N198	x
N199	homework
N200	psv
N201	paper
N202	fullyclosed
N203	girl+correct
N204	cover
N205	flat–b
N206	underpants
N207	crvd–l
N208	underpants+
N209	flat–g
N210	(x)fool/doll
N211	(x)fool/doll+
N212	worse
N213	k
N214	puzzled
N215	sixth
N216	new
N217	shoes
N218	eat+box/room
N219	eat++box/room
N220	twice
N221	#hr
N222	turn+brother
N223	address
N224	address+
N225	street
N226	t
N227	torso mid
N228	abortion
N229	(1h)abortion
N230	#5–c
N231	triple
N232	three
N233	number
N234	bless
N235	mind
N236	mouth
N237	gift
N238	(1h)gift
N239	x–over–thumb
N240	surprise
N241	a gift
N242	bent_1
N243	bent
N244	toys
N245	in–three–years
N246	squared
N247	jellyfish
N248	overhead–projector
N249	class+box/room
N250	book
N251	read
N252	thick
N253	catch
N254	move–around
N255	focus/narrow
N256	big
N257	l–x
N258	science
N259	bent_l
N260	hear
N261	flower
N262	(r)flower
N263	nature
N264	object
N265	american sign language
N266	bridesmaid
N267	outside things and places to go
N268	secret
N269	secret_2
N270	secret+
N271	promise
N272	stink
N273	open–f
N274	lettuce
N275	republican
N276	(k)kitchen
N277	legislature
N278	lobster_3
N279	shrimp
N280	lobster
N281	#pe
N282	(2h)#pe
N283	e
N284	forehead
N285	(bent–b–l)forehead
N286	write–sentence
N287	boil
N288	bath+fs–tub
N289	suspend
N290	rest
N291	apple
N292	(s)apple
N293	food
N294	food and drink
N295	law
N296	lawyer
N297	finger front
N298	door+square
N299	hospital
N300	(10)hospital
N301	bent–u–l
N302	doctor
N303	x–shaped
N304	arm
N305	upper arm
N306	mumps
N307	feel+none/nothing
N308	feel++none/nothing
N309	nipples
N310	boat
N311	transport
N312	surf
N313	vehicles
N314	pea–brain
N315	beautiful+dress/clothes
N316	see
N317	eyeglasses
N318	p
N319	stacked
N320	bite
N321	cat
N322	curved_5
N323	thin
N324	thin_2
N325	pencil
N326	fs–mayo
N327	fingerspelled signs
N328	ugly
N329	cocked–s
N330	(1h)ugly
N331	corn_1
N332	upper lip
N333	cent+one
N334	poke
N335	white+(5)face
N336	court+agent
N337	every–friday
N338	(1)report+agent
N339	report+agent
N340	bother
N341	bother+
N342	bother/interrupt
N343	finger radial
N344	force
N345	(1h)force
N346	(nd–1)force
N347	beans
N348	sml–c–3
N349	beans+
N350	beans_2
N351	health
N352	advise/influence
N353	advise/influence+
N354	deodorant
N355	fully closed
N356	other
N357	eight–months
N358	end
N359	start
N360	finger tip
N361	must
N362	important
N363	turn–down
N364	turn+girl+correct
N365	alt–g_bent–l
N366	(v)face+nice/clean
N367	watermelon
N368	catch–ball
N369	temperature
N370	(1)temperature/pitch
N371	(1)temperature/pitch+
N372	bag
N373	rock
N374	rock+
N375	wild_2
N376	garage/submarine
N377	garage/submarine+
N378	mature
N379	bent–m
N380	angle
N381	favorite
N382	quantifiers
N383	get–rid–of
N384	background
N385	class
N386	student
N387	lend
N388	dont_mind
N389	(cocked–8)fool
N390	straw
N391	cup
N392	dominance violation
N393	dominance condition violation
N394	surprise_2
N395	surprise/wake–up
N396	baby_o
N397	squeeze
N398	lemon
N399	care_2+agent
N400	second
N401	sentence
N402	english
N403	direct+agent
N404	green
N405	green+
N406	snake
N407	color
N408	sex/gender
N409	jump–forward
N410	analyze
N411	neat
N412	broke
N413	(2h)broke
N414	robot
N415	machine
N416	people
N417	middle+west
N418	w
N419	to–fool
N420	play+ground
N421	y
N422	voice+(1)temperature/pitch
N423	voice++(1)temperature/pitch
N424	write+agent
N425	write++agent
N426	(2h)alt.fire+place
N427	energy
N428	coffee
N429	forearm radial
N430	blow–nose
N431	with+neg
N432	kite
N433	(rd)kite
N434	diamond
N435	grief
N436	overflow
N437	turn+motherwg
N438	become+box/room
N439	become+box/room+
N440	pimples
N441	predict
N442	succeed
N443	ninety–eight
N444	switch
N445	now+(d)day
N446	cardigan
N447	#early
N448	used–to
N449	every–year
N450	every–year++
N451	low
N452	(1h)(l)low
N453	(1h)low
N454	perspective
N455	perspective_2
N456	learn
N457	flat_v
N458	not+satisfied
N459	simple
N460	less
N461	island
N462	always+forever_2
N463	collapse
N464	milk
N465	worth+neg
N466	high–on–drugs
N467	thirty–three
N468	dinosaur
N469	(d)dinosaur
N470	animal
N471	against
N472	state
N473	blue
N474	water
N475	closed_b
N476	tradition
N477	history
N478	old_2+less–than
N479	buffalo
N480	cow
N481	a–lot
N482	now
N483	(bent–b–l)now+
N484	time
N485	adverb
N486	earmuff
N487	eat_2+morning
N488	boy+correct
N489	tight–c
N490	capital–letter
N491	(2h)capital–letter
N492	deny
N493	brother
N494	denial
N495	under chin
N496	blue+berry
N497	female–cousin
N498	engineering+agent
N499	(2h)thumbs–up/good+applause
N500	qmwg
N501	seem
N502	nine
N503	old+two_2
N504	tape
N505	pretty
N506	small household items
N507	lie
N508	bent–b–xd
N509	devil
N510	three–fourths
N511	yawn
N512	(y)yawn
N513	(x)fool/doll+(d)day
N514	(x)fool/doll++(d)day
N515	ground+area
N516	ground+(1h)area
N517	file
N518	(nd–b–l)file
N519	(nd–b–l)file++
N520	(vulcan)file
N521	goat
N522	n
N523	cocked–u
N524	bent_v
N525	headaway
N526	umbrella
N527	umbrella+
N528	each+one–pl–arc
N529	bottle
N530	bottle_2
N531	age–five
N532	nine–months
N533	phone+push–buttons
N534	(1h)happy+year
N535	proud
N536	(cheek)blind
N537	program
N538	computer
N539	wall
N540	chair
N541	hang–up–phone
N542	(2h)hang–up–phone
N543	slippery
N544	bed
N545	(2h)bed
N546	house
N547	furniture and rooms
N548	near
N549	close
N550	eat_1
N551	home
N552	camping
N553	disappear
N554	laugh
N555	(1h)laugh++
N556	silly
N557	two–weeks
N558	hair_2+blond
N559	language
N560	clavicle
N561	interesting
N562	clip–nails
N563	toothpaste
N564	(a)toothpaste
N565	move
N566	brave/recover
N567	egg
N568	bird
N569	exact
N570	notice
N571	one+hundred
N572	member
N573	(m)member
N574	full–m
N575	family
N576	(2h)alt.haircut+agent
N577	list–order
N578	drive
N579	travel
N580	cream
N581	earn
N582	three_2+hour
N583	relationship–off
N584	(2h)bed+cushion
N585	(2h)bed+cushion++
N586	computer_6
N587	sophomore_2
N588	(rd)sophomore_2
N589	(rd)sophomore_2++
N590	cookie
N591	candy_1
N592	symmetry violation
N593	authority
N594	distribute
N595	choke
N596	(1h)choke–1p
N597	science+agent
N598	get–out
N599	crvd–u
N600	court
N601	inspire
N602	(5)inspire
N603	picture
N604	body away
N605	fingerprints
N606	(1)fingerprints+
N607	earth+globe
N608	open–8
N609	hypocrite
N610	curtain
N611	imr
N612	kidney
N613	kidney+
N614	vinegar
N615	vinegar_2
N616	vinegar+
N617	beer
N618	beer+
N619	bar
N620	eat+noon
N621	attention–wave
N622	area
N623	(1h)area
N624	city
N625	area (location)
N626	place
N627	drill
N628	when
N629	hair
N630	question signs
N631	illegal
N632	mix–up
N633	decorate
N634	flunk
N635	left
N636	left (direction)
N637	any+one
N638	team
N639	calm–down
N640	calculator+agent
N641	clown
N642	channel
N643	(crvd–3)channel
N644	radio
N645	doorknob, turn heat up
N646	#or
N647	bull
N648	parachute
N649	get
N650	empty/naked
N651	age–two
N652	salt
N653	spaghetti
N654	favorite/prefer
N655	favorite/prefer+
N656	vein+nervy
N657	vein++nervy
N658	deposit
N659	question
N660	perfect
N661	(p)perfect
N662	perfect_2
N663	good
N664	exact, exactly, perfection, precisely
N665	independent
N666	dorm
N667	beg+agent
N668	(2h)think+agree
N669	seven+hour
N670	impress
N671	brother+in+law
N672	worth+neg_2
N673	picnic
N674	bread
N675	gossip
N676	pasta, picnic, rumor, cl–mustache
N677	love
N678	hug_2
N679	hug
N680	relationship
N681	cause
N682	ribs
N683	wait–a–minute
N684	gas/gas–up
N685	duck
N686	animals
N687	flat_h
N688	show–2p+agent
N689	bald+all–gone
N690	(g)thanksgiving
N691	want_2+neg
N692	auction
N693	nurse
N694	nurse+
N695	wrist front
N696	technology+agent
N697	technology++agent
N698	christmas
N699	(2h)christmas
N700	(2h)christmas_2
N701	fly–kite
N702	wrong
N703	very–wrong
N704	mistake_2+
N705	think
N706	wonder
N707	flat_1
N708	false
N709	false+
N710	nothing–at–all
N711	fs–hall
N712	parallel
N713	same_1
N714	refuse
N715	stubborn
N716	to refuse
N717	#tty
N718	girl+friend
N719	manage/control+agent
N720	renovation+agent
N721	renovation++agent
N722	sick
N723	open_8
N724	merge/mainstream
N725	giraffe
N726	dactyl
N727	africa
N728	right
N729	government+agent
N730	sandwich
N731	sandwich_3
N732	sandwich_3+
N733	hamburger
N734	rabbi_2
N735	(r)rabbi_2
N736	virgin
N737	music+group
N738	shh+hide
N739	grab
N740	pig
N741	sunday
N742	sunday_2
N743	flip–flop
N744	flip–flop_2
N745	throw–softball
N746	visit
N747	visit:i
N748	few
N749	some
N750	stacked_5
N751	trim–hedge
N752	lock
N753	window
N754	old+testament
N755	upstairs
N756	boy_2+correct+law
N757	act
N758	act+
N759	actor
N760	soccer
N761	year
N762	month
N763	every–wednesday
N764	smoke
N765	smoke+
N766	smoke (fire)
N767	last–year
N768	(1h)last–year
N769	next+agent
N770	twenty–two
N771	think+general
N772	half
N773	(2h)half
N774	cat+fs–up
N775	motherwg+law
N776	help
N777	#1p–help:i
N778	(rd)help+
N779	please
N780	character
N781	characteristic
N782	brown
N783	brown+
N784	never
N785	turn+sister
N786	blow
N787	pilgrim
N788	surround
N789	fight
N790	angry
N791	messed–up
N792	polite
N793	polite++
N794	polite+
N795	blue+fs–berry
N796	workshop
N797	crvd–w
N798	buy
N799	marry
N800	spread_open_e
N801	lucky
N802	win
N803	wrestle
N804	football
N805	keep
N806	past
N807	past+
N808	#ref
N809	(1h)good/thank–you+sheet–cake
N810	ix–pl
N811	ix–pl–arc
N812	ix–pl–3:i/j/k++
N813	king+area_2
N814	tooth/glass
N815	tooth/glass+
N816	fall–into–place
N817	seventeen
N818	funny
N819	funny+
N820	ahead
N821	every–thursday
N822	(h)every–thursday
N823	jewelry
N824	jewelry+
N825	tiger
N826	shoulder
N827	witch
N828	(1h)witch
N829	moon
N830	big nose, parrot, witch nose
N831	square
N832	water+water–rise
N833	water++water–rise
N834	#bus
N835	headline
N836	wow/awful
N837	(1h)wow/awful
N838	fs–wart
N839	think+agree
N840	contact–lenses
N841	navy
N842	diaper
N843	nose
N844	bored
N845	whistle
N846	(f/9)whistle
N847	(g/q)whistle
N848	referee, umpire
N849	footstep
N850	fs–blouse
N851	correct
N852	evaluate
N853	cancel
N854	divide
N855	death
N856	run
N857	(parallel)run
N858	run+
N859	mad
N860	(2h)mad
N861	(2h)alt.mad
N862	(2h)alt.mad++
N863	person
N864	office
N865	room
N866	teach
N867	teach+
N868	(i)teach
N869	third–in–list
N870	balloon
N871	kid
N872	hanukkah
N873	curtains, fence
N874	coat
N875	toss
N876	second–place
N877	graduate
N878	tight–c–2
N879	college
N880	dry+washing–machine
N881	dry++washing–machine
N882	helicopter
N883	(3)helicopter
N884	object+object
N885	#0+0
N886	#1+1
N887	#1+0
N888	think+visualize
N889	during/while
N890	baking–sprinkles
N891	(1h)baking–sprinkles
N892	boy_3+marry
N893	autumn
N894	audiology+agent
N895	(1)water+ocean
N896	soon
N897	deep
N898	desert
N899	sign+language
N900	sixteen
N901	sixteen_3
N902	sixteen+
N903	zero
N904	middle
N905	inject
N906	(3)inject
N907	enter
N908	deconstruct
N909	cut–with–scissors
N910	awkward
N911	bark
N912	bark_2
N913	dare
N914	sequence
N915	prepare
N916	order, organize, plan, redirect, sequence
N917	sting
N918	bug
N919	eight+hour
N920	jump
N921	playground
N922	hurricane
N923	open_h
N924	restaurant
N925	scientist
N926	crossed
N927	rope
N928	mountain
N929	shelf/floor
N930	swallow
N931	pride
N932	hit
N933	pull
N934	(2h)alt.pull
N935	first
N936	bake_1
N937	one, one dollar
N938	breathe
N939	north+west_2
N940	bent–n
N941	plane–ascend
N942	bomb
N943	basketball
N944	fed–up/full
N945	#bbq
N946	cake
N947	tracing+object
N948	chocolate
N949	farm+agent
N950	farm++agent
N951	four–months
N952	think+mean
N953	mother+law
N954	accompany
N955	black–out
N956	storm/clouds
N957	cloud
N958	cloud_2
N959	old
N960	(s)old
N961	rude
N962	blank
N963	golf
N964	(1h)golf
N965	grass
N966	games and routines
N967	choose
N968	bathroom
N969	fs–holy
N970	pie
N971	piano
N972	piano+
N973	accident
N974	(3)accident
N975	(5)accident
N976	serious
N977	kick–off
N978	subway
N979	subway_2
N980	subway+
N981	subway_2+++
N982	feel+grief
N983	(s)old+#ff
N984	rich
N985	orange
N986	assault
N987	ask
N988	teacher
N989	orthodox
N990	lantern
N991	(y)lantern
N992	sliding–doors
N993	fiance
N994	lose–weight
N995	tall
N996	long–sleeve
N997	maximum
N998	take–up
N999	scarf
N1000	fs–hell
N1001	by–a–hair
N1002	ix:i
N1003	local
N1004	every–two–years
N1005	sweatshirt
N1006	shower
N1007	gorilla, hoodie
N1008	curved_4
N1009	waist
N1010	pressure
N1011	pressure+
N1012	limit
N1013	really+nice/clean
N1014	laid–up+lie–down_2
N1015	tongue
N1016	snow+motorcycle
N1017	mull–over+decide
N1018	politics
N1019	introduce
N1020	memorize
N1021	memories, common sense, memory
N1022	earth+sphere
N1023	conclusion
N1024	set–up
N1025	stimulate
N1026	telephone
N1027	no answer, signal, trigger
N1028	safe_2+agent
N1029	foundation
N1030	off
N1031	prepositions and locations
N1032	idea
N1033	toast
N1034	shut–up
N1035	seven–months
N1036	six
N1037	math
N1038	late
N1039	cold
N1040	rain
N1041	center
N1042	locative
N1043	boy_2+correct
N1044	not–my–problem
N1045	necktie
N1046	necktie_2
N1047	collar
N1048	(1h)collar
N1049	(1h)collar+
N1050	#tv
N1051	#tv+
N1052	art/design+agent
N1053	touch–heart
N1054	group
N1055	university
N1056	fine
N1057	fine+
N1058	fine_2
N1059	fingerspell
N1060	fingerspell+
N1061	champ
N1062	(crvd–3)champ
N1063	volleyball
N1064	complicated
N1065	hall
N1066	nice/clean
N1067	lousy
N1068	last
N1069	hard
N1070	lift
N1071	(2h)think+shock
N1072	think+shock
N1073	hear+close–window
N1074	period–on–page
N1075	association
N1076	cook/kitchen
N1077	cook/kitchen+
N1078	drunk
N1079	(2h)drunk
N1080	cashier+agent
N1081	pink
N1082	wild–about
N1083	personality
N1084	steal
N1085	forearm ulnar
N1086	arm away
N1087	poss–1p
N1088	poss–1p+
N1089	dive–off–board
N1090	elementary
N1091	material
N1092	(m)material
N1093	eyebrow–frown
N1094	gradual–decline–a–lot
N1095	gradual–decline_3
N1096	gradual–decline++
N1097	intercourse
N1098	intercourse+
N1099	stretch
N1100	#all
N1101	(2h)#all_2
N1102	reject
N1103	discriminate
N1104	vain
N1105	attention
N1106	holy
N1107	stand–up
N1108	box/room
N1109	honest
N1110	blunt, sober
N1111	between/share
N1112	teeth
N1113	teeth+
N1114	dentist
N1115	(u)bowtie
N1116	motivate
N1117	motivate++
N1118	throw–away
N1119	think+decide
N1120	bawl–out
N1121	(nd–1)bawl–out
N1122	skyscraper
N1123	course
N1124	promiscuous
N1125	court+box/room
N1126	six–dollars
N1127	#rr
N1128	(1h)haircut+agent
N1129	(1h)haircut++agent
N1130	welcome
N1131	later
N1132	later+++
N1133	million/billion_2+agent
N1134	suggest
N1135	(1h)suggest
N1136	eat–with–fork
N1137	gamble
N1138	microphone
N1139	music
N1140	scrape
N1141	scrape+
N1142	scrape_2
N1143	shoe–heel
N1144	seventy–eight
N1145	shoot–arrow
N1146	(5)shoot–arrow
N1147	(cocked–8)shoot–arrow
N1148	eat+morning
N1149	advertise
N1150	advertise_2
N1151	advertise+
N1152	finger ulnar
N1153	pizza
N1154	watch–tv
N1155	priest
N1156	priest+
N1157	ring
N1158	challenge
N1159	string
N1160	fishing
N1161	rattle
N1162	study
N1163	common–sense
N1164	cracker/passover
N1165	cracker/passover+
N1166	anyway/not–matter
N1167	anyway/not–matter+
N1168	pass–out
N1169	six–weeks
N1170	greedy
N1171	nun
N1172	want
N1173	drink
N1174	engagement
N1175	potato
N1176	label
N1177	uniform
N1178	eat–up
N1179	(1h)eat–up
N1180	ten+eight
N1181	cut
N1182	elevator
N1183	(nd–1)elevator+
N1184	elevator+
N1185	house+(p)pay
N1186	get–bigger
N1187	effort
N1188	bison/buffalo
N1189	forty
N1190	agent
N1191	(d)doctor+
N1192	curved_l
N1193	answer
N1194	any
N1195	blank–out
N1196	supervise+agent
N1197	then
N1198	after
N1199	connecting signs
N1200	#pizza
N1201	one+thousand
N1202	communicate+miscommunicate
N1203	wheelbarrow
N1204	shovel
N1205	cart, drainer, push something, shake a tray, shuffle, wheelchair
N1206	learn+agent
N1207	horse
N1208	drapes
N1209	through
N1210	vulcan
N1211	(s)old+one_2
N1212	slice
N1213	slice_2
N1214	devour
N1215	inform
N1216	net
N1217	person walks alone, roam, walk alone, walk around, walk away, walking, wander
N1218	environment
N1219	fanned–flat–o
N1220	(s)old+three_2
N1221	amazed
N1222	red
N1223	red+
N1224	black
N1225	cannot
N1226	impossible
N1227	when+part:indef
N1228	beach
N1229	(a)beach
N1230	bent–horns
N1231	ip
N1232	what
N1233	what++
N1234	what+
N1235	friendly
N1236	cent+five
N1237	lord–god
N1238	motor
N1239	#ff
N1240	poss:i
N1241	poss–pl–arc
N1242	poss+++:i/j/k/l
N1243	poss–pl
N1244	hungry/wish
N1245	(2h)hungry/wish
N1246	carrot
N1247	(1)carrot
N1248	handling
N1249	option
N1250	(1h)option
N1251	bowtie
N1252	tie
N1253	plant–seeds
N1254	(2h)plant–seeds
N1255	general
N1256	cocaine
N1257	in–five–years
N1258	heavy
N1259	past+night
N1260	onion
N1261	onion+
N1262	box_2
N1263	over/after
N1264	over_2
N1265	who_2
N1266	eye–mask
N1267	corn_4
N1268	(l–x)corn_4
N1269	behind
N1270	heel
N1271	mold
N1272	borrow
N1273	borrow/lend
N1274	up–to–now
N1275	twist
N1276	leave–there
N1277	island/interest
N1278	(nd–b)island/interest+
N1279	hands
N1280	hill
N1281	(2h)hill
N1282	smooth
N1283	smooth_2
N1284	pour
N1285	(y)pour
N1286	grammar
N1287	bowl
N1288	any+thing
N1289	blush
N1290	three–months
N1291	average
N1292	medium
N1293	gym
N1294	(crvd–l)gym
N1295	(crvd–l)gym++
N1296	gym++
N1297	earth
N1298	planet
N1299	tan
N1300	summer
N1301	discipline
N1302	(nd–1)discipline
N1303	(nd–1)discipline++
N1304	miss/assume
N1305	ghost
N1306	copy–down
N1307	shampoo
N1308	brush
N1309	fly–by–plane
N1310	jealous
N1311	(x)jealous
N1312	look_at
N1313	cute
N1314	cute+
N1315	hat
N1316	go–out
N1317	go–out+
N1318	bathing–suit
N1319	empty/early
N1320	early_2
N1321	earth+rumble
N1322	future
N1323	(f)future
N1324	dream
N1325	easter
N1326	(1h)easter
N1327	(v)think+mean
N1328	rabbit_2
N1329	turtle
N1330	rabbit
N1331	prove
N1332	understand
N1333	(2h)alt.understand
N1334	approve
N1335	all–afternoon
N1336	lose–competition
N1337	hear/listen+rumble
N1338	rule
N1339	r–l
N1340	the rules
N1341	water+
N1342	begin
N1343	(2h)dribble+shoot–basket
N1344	(2h)dribble++shoot–basket
N1345	king+(1h)area
N1346	(2h)alt.fancy+box/room
N1347	than
N1348	knife
N1349	group/together
N1350	(1h)(l–x)interesting+zero_2
N1351	nothing
N1352	each+one
N1353	send
N1354	try
N1355	gorilla
N1356	reins
N1357	bandaid
N1358	turn–page
N1359	quit
N1360	baseball
N1361	(s)old+two_2
N1362	bowling
N1363	(crvd–3)bowling
N1364	class_2+box/room
N1365	parliament
N1366	summon
N1367	i:summon–1p
N1368	lax
N1369	husband
N1370	eight–weeks
N1371	paint+agent
N1372	(1h)good/thank–you+honeymoon
N1373	first–place
N1374	socks
N1375	socks+
N1376	clothes
N1377	nonicon
N1378	five_2+hour
N1379	less–than
N1380	piss–off
N1381	cocked–f
N1382	story+agent
N1383	story++agent
N1384	(e)e–mail
N1385	blame
N1386	wrong_1
N1387	trash/bag
N1388	(5)trash/bag
N1389	(g)trash/bag
N1390	spell
N1391	library+agent
N1392	each
N1393	each+
N1394	tired
N1395	(1h)tired
N1396	puff–smoke
N1397	upper
N1398	stupid_3
N1399	take–train
N1400	once
N1401	benefit
N1402	credit, fraternity, maine, pitssburgh, point, profit, score
N1403	rob
N1404	thief_2
N1405	#yes
N1406	forget
N1407	(v)face+same
N1408	key
N1409	key+
N1410	instruments
N1411	(1h)key
N1412	open_e
N1413	excuse
N1414	really
N1415	one+million/billion
N1416	fast
N1417	slow
N1418	record/break–record
N1419	candy+fs–cane
N1420	quadruple
N1421	crowded
N1422	six–months
N1423	water–rise
N1424	magnet_3
N1425	magnet
N1426	cent+eight
N1427	cooperate/unite
N1428	throw
N1429	(1)throw
N1430	(5)throw
N1431	trash
N1432	#ss
N1433	pay–in–full
N1434	gay
N1435	quintuple
N1436	pick/choose
N1437	(2h)pick/choose
N1438	girl+also
N1439	(crvd–5)basketball
N1440	enjoy
N1441	drugs
N1442	drugs+
N1443	wonder+
N1444	judge
N1445	owl
N1446	owl+
N1447	necklace+jewelry
N1448	thursday
N1449	name
N1450	vacuum–up
N1451	third–place
N1452	haircut/trim
N1453	innocent
N1454	up
N1455	heaven
N1456	nine–weeks
N1457	responsibility
N1458	hammer
N1459	(1h)hammer+
N1460	court, judge
N1461	subtract
N1462	replace
N1463	exchange
N1464	sister
N1465	gymnastics
N1466	virgin+fs–mary
N1467	turn+boy_2+correct
N1468	bind/tie–up
N1469	seventy–seven
N1470	baby
N1471	(1h)good/thank–you+lucky
N1472	#back
N1473	(2h)#back_2
N1474	thank–you+suggest
N1475	fs–jewelry
N1476	gloves
N1477	fancy+box/room
N1478	head–cold
N1479	overlook
N1480	donkey
N1481	(2h)donkey
N1482	(2h)donkey++
N1483	downstairs
N1484	(2h)downstairs
N1485	old+#ff
N1486	#cp
N1487	secret+hide
N1488	who+part:indef
N1489	scream
N1490	(1h)scream
N1491	#5–c–l
N1492	lion
N1493	kind
N1494	boy_2+also
N1495	one_2+hundred
N1496	steep
N1497	many
N1498	popcorn
N1499	emotionless
N1500	(2h)emotionless
N1501	letter/mail+send
N1502	talk
N1503	#wow
N1504	mustache
N1505	become–fat
N1506	testify
N1507	use_2+agent
N1508	use_2++agent
N1509	fs–pickle
N1510	blinds
N1511	blinds+
N1512	strawberry
N1513	strawberry+
N1514	strangle
N1515	improve
N1516	forearm back
N1517	paragraph
N1518	paragraph–pl
N1519	paragraph+
N1520	fax
N1521	(vulcan)fax
N1522	city/community
N1523	far
N1524	(1)far
N1525	measure
N1526	soap+washing–machine
N1527	soap++washing–machine
N1528	conductor
N1529	last–week
N1530	next–to
N1531	(1h)next–to
N1532	announce
N1533	print
N1534	from
N1535	five–dollars
N1536	join
N1537	age–four
N1538	build
N1539	(u–l)build
N1540	(u–l)build+
N1541	#adv
N1542	touch–heart+grief
N1543	same–time
N1544	dry+area
N1545	reflect
N1546	weave
N1547	schedule
N1548	crowd crossing
N1549	to weave
N1550	(2h)cat+
N1551	tracing
N1552	cat+
N1553	god
N1554	hear+ear–hurt
N1555	aunt
N1556	aunt_3
N1557	nephew
N1558	#ed
N1559	(1h)#ed
N1560	license
N1561	license+
N1562	four–dollars
N1563	beg_2+agent
N1564	poem
N1565	eight–hours
N1566	list
N1567	videotape
N1568	videotape_2
N1569	ready
N1570	beg
N1571	beg+
N1572	badge
N1573	(f)badge
N1574	heart beating, medal, nametag, patch
N1575	elbow–patch
N1576	yesterday
N1577	week
N1578	idea+visualize
N1579	fourth–place
N1580	medicine
N1581	medical
N1582	comfortable
N1583	blanket
N1584	boy+baby_2
N1585	grow+collect
N1586	grow++collect
N1587	grow+++collect
N1588	glue
N1589	(g)glue
N1590	(g)glue++
N1591	million/billion+agent
N1592	million/billion+++agent
N1593	one–third
N1594	paper+clip
N1595	paper++clip
N1596	wide
N1597	predict+agent
N1598	dash–lines
N1599	finally
N1600	movie+square
N1601	karate
N1602	chain/olympics
N1603	every+(2h)thing
N1604	constitution
N1605	four–weeks
N1606	brake
N1607	(5–c–l)brake
N1608	delicious
N1609	icecream
N1610	melt/solve
N1611	fault
N1612	bald
N1613	save
N1614	save_2
N1615	save+
N1616	decline
N1617	below_2
N1618	below_2+
N1619	dry
N1620	(s)old+testament
N1621	sneeze
N1622	(nd–b)mountain
N1623	object&tracing
N1624	#0&1
N1625	#0&0
N1626	curve
N1627	(s)old+four_2
N1628	seven
N1629	escape
N1630	take–a–hike
N1631	kiss_3
N1632	kiss
N1633	come
N1634	(1h)come
N1635	train
N1636	broom
N1637	broom_2
N1638	sell
N1639	sell+
N1640	toilet+paper
N1641	again
N1642	tomato
N1643	park+drop–coins
N1644	park++drop–coins
N1645	curriculum
N1646	wrestle+agent
